ontology_class_slug	ontology_class_label	confidence	mixs_context_label	mixs_environment_label	agent	timestamp	comment
ENVO_03501123	airport terminal	0.8	env_local_scale	BuiltEnvironment	claude-3-opus-20240229	2024-05-07T18:40 EDT	Airport terminals represent distinct local environments within the built environment with unique characteristics and potential influences on samples.
ENVO_02000001	textile	0.6	env_local_scale	Air	claude-3-opus-20240229	2024-05-07T18:40 EDT	Textiles and fabrics in an environment can influence the composition of air samples by acting as sources or sinks for airborne particles and compounds.
ENVO_01000486	building floor	0.9	env_local_scale	BuiltEnvironment	claude-3-opus-20240229	2024-05-07T18:40 EDT	Building floors can define distinct local environments within a building, especially relevant for interior built environment samples.
ENVO_01000486	building floor	0.7	env_local_scale	Air	claude-3-opus-20240229	2024-05-07T18:40 EDT	Different building floors may have somewhat varying airflow and contaminant profiles, providing relevant context for some air samples.
ENVO_01000472	building roof	0.85	env_local_scale	BuiltEnvironment	claude-3-opus-20240229	2024-05-07T18:40 EDT	Building roofs can significantly influence the local environment, particularly for exterior built environment samples or those near the top of a building.
ENVO_01000465	building wall	0.9	env_local_scale	BuiltEnvironment	claude-3-opus-20240229	2024-05-07T18:40 EDT	Walls define and compartmentalize local environments within buildings and are highly relevant for interior built environment samples.
ENVO_01000426	room	0.95	env_local_scale	BuiltEnvironment	claude-3-opus-20240229	2024-05-07T18:40 EDT	Rooms provide specific, localized environmental contexts within buildings that are highly relevant for built environment samples.
ENVO_01000426	room	0.9	env_local_scale	Air	claude-3-opus-20240229	2024-05-07T18:40 EDT	Individual rooms within buildings can have distinct air quality conditions based on factors like ventilation, occupancy, and activities.
ENVO_01000425	indoor toilet	0.95	env_local_scale	BuiltEnvironment	claude-3-opus-20240229	2024-05-07T18:40 EDT	Toilets are distinct local environments within buildings that provide highly specific contexts for built environment samples.
ENVO_01000422	bathroom	0.95	env_local_scale	BuiltEnvironment	claude-3-opus-20240229	2024-05-07T18:40 EDT	Bathrooms represent unique local environments within buildings with specific environmental conditions that are important for built environment samples.
ENVO_01000422	bathroom	0.8	env_local_scale	Air	claude-3-opus-20240229	2024-05-07T18:40 EDT	Bathrooms can have distinct air quality characteristics compared to other indoor environments due to moisture, ventilation, and other factors.
ENVO_01000421	indoor kitchen	0.95	env_local_scale	BuiltEnvironment	claude-3-opus-20240229	2024-05-07T18:40 EDT	Kitchens are specialized local environments within buildings with distinct characteristics that are highly relevant for built environment samples.
ENVO_01000421	indoor kitchen	0.8	env_local_scale	Air	claude-3-opus-20240229	2024-05-07T18:40 EDT	Kitchens can have unique airborne particles and compounds related to cooking activities that provide relevant context for indoor air samples.
ENVO_00002044	clean room	0.9	env_local_scale	Air	claude-3-opus-20240229	2024-05-07T18:40 EDT	A clean room provides a highly controlled localized environment relevant for air samples taken in specialized settings like laboratories or manufacturing facilities.
ENVO_00000297	paddy field	0.95	env_local_scale	Agriculture	claude-3-opus-20240229	2024-05-07T18:40 EDT	Paddy fields are flooded parcel agricultural environments used for rice and other semi-aquatic crop cultivation and provide important context for related samples.
ENVO_00000296	rice field	0.95	env_local_scale	Agriculture	claude-3-opus-20240229	2024-05-07T18:40 EDT	Rice fields are specific local environments used for rice cultivation and are highly relevant for agricultural samples from these sites.
ENVO_00000266	pasture	0.9	env_local_scale	Agriculture	claude-3-opus-20240229	2024-05-07T18:40 EDT	Pastures are localized agricultural environments used for livestock grazing and are important contexts for samples related to animal agriculture.
ENVO_00000117	plantation	0.8	env_local_scale	Agriculture	claude-3-opus-20240229	2024-05-07T18:40 EDT	Plantations are large-scale agricultural sites that can provide relevant local environmental context for agricultural samples, but may require more specificity.
ENVO_00000116	vineyard	0.95	env_local_scale	Agriculture	claude-3-opus-20240229	2024-05-07T18:40 EDT	Vineyards are distinct localized agricultural environments dedicated to grape production for wine making and are important contexts for related agricultural samples.
ENVO_00000115	orchard	0.95	env_local_scale	Agriculture	claude-3-opus-20240229	2024-05-07T18:40 EDT	Orchards are specific localized agricultural environments focused on fruit production and are highly relevant for agricultural samples from these sites.
ENVO_00000114	agricultural field	0.95	env_local_scale	Agriculture	claude-3-opus-20240229	2024-05-07T18:40 EDT	An agricultural field is a highly relevant and specific local environmental context for agriculture-related samples.
ENVO_00000078	farm	0.9	env_local_scale	Agriculture	claude-3-opus-20240229	2024-05-07T18:40 EDT	A farm represents the localized environment where agricultural production occurs and is highly relevant for agricultural samples.
ENVO_00000077	agricultural ecosystem	0.9	env_local_scale	Agriculture	claude-3-opus-20240229	2024-05-07T18:40 EDT	Agricultural ecosystems encompass the local environment and conditions in which agricultural activities take place.
ENVO_00000073	building	0.95	env_local_scale	BuiltEnvironment	claude-3-opus-20240229	2024-05-07T18:40 EDT	A building is a highly relevant local environmental context for built environment samples, providing the immediate surroundings and conditions.
ENVO_00000073	building	0.8	env_local_scale	Air	claude-3-opus-20240229	2024-05-07T18:40 EDT	Buildings create semi-contained local atmospheres that are relevant context for air samples, but may require more specificity.
ENVO_00000064	road	0.7	env_local_scale	Air	claude-3-opus-20240229	2024-05-07T18:40 EDT	Roads can influence the local air environment through vehicle emissions, dust generation, and effects on airflow, potentially impacting nearby air samples.
ENVO_00000010	transport feature	0.7	env_local_scale	BuiltEnvironment	claude-3-opus-20240229	2024-05-07T18:40 EDT	Transport features like roads or railways can provide relevant local environmental context for exterior built environment samples or those near transportation infrastructure.
